# spot=1055.58
# year_fraction=0.13150684931506848
# forward=1059.732823370682
# rate=0.031440882048474436
# r2=0.9998659656740725
# num_strikes_used=19
,security_des,opt_put_call,opt_strike_px,opt_expire_dt,opt_cont_size,opt_undl_px,px_bid,px_ask,px_last,ivol_bid,ivol_ask,ivol_mid,delta_mid,gamma_mid,vega_mid,theta_mid,px_volume,open_int
KOSPI2 09/10/26 P1000 Index,KOSPI2 09/10/26 P1000,Put,1000.0,2026-09-10,250000.0,1055.58,64.0,89.4,82.3,60.7588,,,,,,,6.0,2259
KOSPI2 09/10/26 P1050 Index,KOSPI2 09/10/26 P1050,Put,1050.0,2026-09-10,250000.0,1055.58,84.5,114.05,107.0,58.29109,55.88709,67.8794,-0.436795,0.015966,1.510357,-1.05587,1.0,1104
KOSPI2 09/10/26 P1100 Index,KOSPI2 09/10/26 P1100,Put,1100.0,2026-09-10,250000.0,1055.58,104.7,144.5,131.6,53.19886,77.15442,66.24469,-0.514454,0.016558,1.528171,-1.040795,0.0,1735
KOSPI2 09/10/26 P1150 Index,KOSPI2 09/10/26 P1150,Put,1150.0,2026-09-10,250000.0,1055.58,136.85,174.8,163.4,52.44167,75.56129,52.34704,-0.631857,0.019808,1.444542,-0.773993,0.0,301
KOSPI2 09/10/26 P1200 Index,KOSPI2 09/10/26 P1200,Put,1200.0,2026-09-10,250000.0,1055.58,,,197.55,,,,,,,,0.0,1083
KOSPI2 09/10/26 P1250 Index,KOSPI2 09/10/26 P1250,Put,1250.0,2026-09-10,250000.0,1055.58,,,234.65,,,,,,,,0.0,1482
KOSPI2 09/10/26 P1300 Index,KOSPI2 09/10/26 P1300,Put,1300.0,2026-09-10,250000.0,1055.58,,,275.15,,,,,,,,0.0,1942
KOSPI2 09/10/26 P1350 Index,KOSPI2 09/10/26 P1350,Put,1350.0,2026-09-10,250000.0,1055.58,,,316.7,,,,,,,,0.0,200
KOSPI2 09/10/26 P1400 Index,KOSPI2 09/10/26 P1400,Put,1400.0,2026-09-10,250000.0,1055.58,,,360.85,,,,,,,,0.0,1030
KOSPI2 09/10/26 P1450 Index,KOSPI2 09/10/26 P1450,Put,1450.0,2026-09-10,250000.0,1055.58,,,405.45,,,,,,,,0.0,700
KOSPI2 09/10/26 P1500 Index,KOSPI2 09/10/26 P1500,Put,1500.0,2026-09-10,250000.0,1055.58,,,451.85,,,,,,,,0.0,821
KOSPI2 09/10/26 P1550 Index,KOSPI2 09/10/26 P1550,Put,1550.0,2026-09-10,250000.0,1055.58,,,498.6,,,,,,,,0.0,0
KOSPI2 09/10/26 P1597.5 Index,KOSPI2 09/10/26 P1597.5,Put,1597.5,2026-09-10,250000.0,1055.58,,,543.9,,81.86169,81.86169,-0.889457,0.006269,0.720852,-0.563568,0.0,1022
